No. ,IGLESIA,DISTRITO,DOMICILIO,PASTOR,lat,long,miembros,status
1,COSTA AZUL,COSTA AZUL,"CALLE SAN AGUSTIN #193 FRACC. COSTA AZUL, CP 22890, ENSENADA, B.C.",HOMERO VEL¡ZQUEZ,31.8495678,-116.6026744,317,Iglesia
2,MORELOS,COSTA AZUL,"CALLE ARTESANOS #927 COL. MORELOS I, ENSENADA, B.C.",HOMERO VEL¡ZQUEZ,31.8539842,-116.567948,68,Iglesia
3,17 DE ABRIL,COSTA AZUL,"CALLE 17 DE ABRIL, ENSENADA, B.C.",HOMERO VEL¡ZQUEZ,31.873083,-116.56446,31,Grupo
4,PIEDRAS NEGRAS,COSTA AZUL,"CALLE TORREON 401 COL. PIEDRAS NEGRAS, CP 22830, ENSENADA, B.C.",HOMERO VEL¡ZQUEZ,31.8766185,-116.6028583,71,Iglesia
5,COL. 89,COSTA AZUL,"AV. CALAFIA 428 COL. POPULAR 89, ENSENADA, B.C.",HOMERO VEL¡ZQUEZ,31.8968436,-116.5659489,46,Iglesia
6,INDECO,COSTA AZUL,"CALLE AV. ALHELIES, NO. 438 COL. INDECO LOMITAS CP. 22810, ENSENADA, B.C.",HOMERO VEL¡ZQUEZ,31.8939171,-116.5810169,70,Iglesia
7,OJOS NEGROS,COSTA AZUL,,HOMERO VEL¡ZQUEZ,31.909691,-116.271044,,
8,ENSENADA 14,ENSENADA 14,"CALLE 14 ENTRE MIRAMAR Y GASTELUM COL. CENTRO #548, CP 22820, ENSENADA, B.C.",SEDRIC ARENA,31.8758311,-116.621774,315,Iglesia
9,EL SAUZAL,ENSENADA 14,"AV. PUERTO ENSENADA #255, COL. LOMAS DEL SAUZAL DE RODR√çGUEZ, ENSENADA, B.C.",SEDRIC ARENA,31.9029722,-116.6918499,22,Grupo
10,VALLE DE GUADALUPE,ENSENADA 14,"LOTE 4 MANZANA 69, COL. GUADALUPE, ENSENADA, B.C.",SEDRIC ARENA,32.0973063,-116.5772458,34,Grupo
11,LOMA LINDA,ENSENADA 14,"CALLE ART. 27 #10 COL LOMA LINDA, ENSENADA, B.C.",SEDRIC ARENA,31.8837065,-116.6325416,36,Grupo
12,FLORES MAG”N CHACON,ENSENADA 14,"CALLE MARGARITAS Y ROBLES, COL. FLORES MAG√ìN, ENSENADA, B.C.",SEDRIC ARENA,31.903475,-116.6005462,50,Grupo
13,MANEADERO,MANEADERO,CALLE AUGUSTO GOMEZ VILLANUEVA #364 COLONIA POBLADO MANEADERO PARTE ALTA C.P. 22790,APOLONIO CHABL…,31.7144771,-116.5746639,245,Iglesia
14,CHAPULTEPEC,MANEADERO,"AV. HIDALGO Y CALLE 11, COL. CHAPULTEPEC, ENSENADA, B.C.",APOLONIO CHABL…,31.7839971,-116.6091831,82,Iglesia
15,SAN VICENTE,MANEADERO,"CALLE FRAY FELIPE DE GALLEGO #22 COL. AMPLIACI√ìN SAN VICENTE CP 22900, ENSENADA, B.C.",APOLONIO CHABL…,31.31957,-116.2452017,71,Iglesia
16,BUENA VISTA,MANEADERO,"LOTE 1, MANZANA 3, DESARROLLO URBANO BUENA VISTA, ENSENADA, B.C.",APOLONIO CHABL…,31.672222,-116.510185,78,Iglesia
